City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
118,Bethel,US,52.0,41.37,-73.41,Courtyard by Marriott Danbury
119,Majene,ID,80.1,-3.54,118.97,Kost Putri RABBANI
120,Zheshart,RU,27.48,62.07,49.57,"Gostinitsa, Zao Zhfk"
121,Biltine,TD,81.9,14.53,20.92,Hôtel Trois Étoiles de Biltine
122,Kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
123,San Pedro,PH,78.01,14.35,121.02,OYO 412 Viewfort Venue
124,Hasaki,JP,57.2,35.73,140.83,Inubosaki Kanko Hotel
125,Penarroya-Pueblonuevo,ES,57.2,38.3,-5.27,Casa Rural Los Miraderos De Cristina
126,Petropavlovsk-Kamchatskiy,RU,33.8,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
127,Siloam Springs,US,57.2,36.19,-94.54,Cherokee Hotel & Casino West Siloam Springs
128,Tura,IN,68.56,25.52,90.22,Hotel RIKMAN Continental
129,Asau,RO,39.0,46.43,26.4,Casa Mika Ciobanus
130,Ponta Do Sol,PT,69.01,32.67,-17.1,Hotel do Campo
131,Fortuna,US,66.0,40.6,-124.16,Super 8 by Wyndham Fortuna
132,Seoul,KR,42.8,37.57,126.98,LOTTE HOTEL SEOUL
133,Qaanaaq,GL,2.66,77.48,-69.36,Qaanaaq Hotel
134,Umm Lajj,SA,77.83,25.02,37.27,Moon light Furnished Units
135,Mehamn,NO,39.2,71.04,27.85,Mehamn Arctic Hotel AS
136,Dikson,RU,18.55,73.51,80.55,
137,Aksarka,RU,24.51,66.56,67.8,
138,Lazaro Cardenas,MX,84.42,17.96,-102.2,Collection O Hotel Quinta Antigua
139,Kimbe,PG,86.85,-5.55,150.14,Kimbe Bay Hotel
140,Flinders,AU,68.0,-34.58,150.86,Shellharbour Resort & Conference Centre
141,Imeni Poliny Osipenko,RU,27.86,52.42,136.49,Yubileynaya
142,Bredasdorp,ZA,64.4,-34.53,20.04,Bredasdorp Country Manor
143,Half Moon Bay,US,79.0,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
144,Byumba,RW,64.4,-1.58,30.07,Ubwuzu Ltd
145,Bembibre,ES,60.01,42.62,-6.42,Casa de Convivencia INCAS
146,Menongue,AO,73.33,-14.66,17.69,Ritz Lauca
147,Andrushivka,UA,43.99,50.02,29.02,Клопарня
148,Lazo,RU,37.18,43.38,133.9,
149,Port Elizabeth,ZA,64.4,-33.92,25.57,39 On Nile Guest House
150,Victoria,HK,75.0,22.29,114.16,Mini Hotel Central
151,Solwezi,ZM,63.43,-12.17,26.39,Country Lodge Solwezi
152,Provideniya,RU,23.0,64.38,-173.3,
153,Pisco,PE,64.4,-13.7,-76.22,Hostal San Isidro Oficial
154,Ancud,CL,59.0,-41.87,-73.82,Hotel Arena Gruesa
155,Tahe,CN,9.99,52.33,124.73,塔河宾馆
156,Honiara,SB,87.8,-9.43,159.95,Heritage Park Hotel
157,Cermik,TR,66.2,38.14,39.45,Çermik Öğretmen Evi
158,Narsaq,GL,21.2,60.92,-46.05,Hotel Narsaq
159,Diourbel,SN,78.8,14.66,-16.39,ISFAR maison Blanche
160,Arraial Do Cabo,BR,69.04,-22.97,-42.03,Pousada Porto Praia
161,Champerico,GT,87.8,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
162,Brae,GB,51.8,60.4,-1.35,Busta House Hotel
163,Wattegama,LK,74.82,6.8,81.48,
164,Geraldton,AU,57.2,-28.77,114.6,Broadwater Mariner Resort
165,Ilulissat,GL,17.6,69.22,-51.1,Hotel Arctic
166,Sinop,TR,43.9,41.77,34.87,
167,Hobyo,SO,80.13,5.35,48.53,Osmani Hotel
168,Taltal,CL,59.83,-25.4,-70.48,Residencial Karime
169,Adrar,MR,79.9,20.5,-10.07,
171,Abha,SA,60.8,18.22,42.51,Abha Hotel
172,Luohe,CN,54.54,33.57,114.04,BNB 29-Tunxi Old Street Branch
173,Katsuura,JP,64.4,35.13,140.3,Katsuura Hotel Mikazuki
174,Jiuquan,CN,32.22,39.74,98.52,Jiuquan Hotel
175,Cap Malheureux,MU,68.0,-19.98,57.61,Pereybere Hotel & Spa
176,Lebu,CL,54.54,-37.62,-73.65,Hostal Las Lilas
177,Natal,BR,80.6,-5.79,-35.21,Villa Park Hotel | Natal
178,Buenos Aires,AR,70.0,-34.61,-58.38,Gran Hotel Argentino
179,Saint George,US,81.0,37.1,-113.58,Best Western Plus Abbey Inn
180,Songea,TZ,67.3,-10.68,35.65,mtakuja
181,Old Saybrook,US,55.0,41.29,-72.38,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
182,Namibe,AO,72.52,-15.2,12.15,Hotel Chik Chik Namibe
183,Najran,SA,62.6,17.49,44.13,محمد هادي ال فطيح
184,Anadyr,RU,15.8,64.75,177.48,"Гостиница ""Анадырь"""
185,Creston,US,42.8,41.06,-94.36,Supertel Inn & Conference Center
186,Byron Bay,AU,73.99,-28.65,153.62,Backpackers Inn on the Beach
187,Tazovskiy,RU,21.72,67.47,78.7,TazHostel
188,Batagay-Alyta,RU,-10.16,67.8,130.41,
189,Kualakapuas,ID,74.26,-3.01,114.39,Guest House Izonk
190,Lagoa,PT,63.28,39.05,-27.98,Casa Das Faias
191,Iqaluit,CA,12.2,63.75,-68.51,Frobisher Inn
192,Shelburne,CA,35.6,44.08,-80.2,The Retreat at the Farm
193,Bocanda,CI,74.07,7.06,-4.5,Hotel Bah-Nian
194,Lakes Entrance,AU,66.99,-37.88,147.98,The Esplanade Resort & Spa
195,Ifakara,TZ,74.97,-8.13,36.68,Tanzanian Training Centre for International Health
196,Ust-Nera,RU,-15.32,64.57,143.2,Hotel Ust-Nera
197,Buriti Dos Lopes,BR,78.42,-3.17,-41.87,Pousada Alves
198,Guaruja,BR,64.99,-23.99,-46.26,Charme Hotel Guarujá
199,Boyolangu,ID,76.3,-8.12,111.89,Yos ega cv
200,Faanui,PF,80.26,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
201,Piranshahr,IR,46.87,36.7,45.14,مسافر خانه سعدی
202,Suntar,RU,0.18,62.14,117.63,Gostevoy Dom
203,Pangnirtung,CA,9.84,66.15,-65.71,Kilabuk Lodge
204,Myitkyina,MM,69.48,25.38,97.4,Shwe Phyu Hotel
205,Tilichiki,RU,27.14,60.47,166.1,
206,Neiafu,TO,80.6,-18.65,-173.98,Mystic Sands
207,Ereymentau,KZ,34.79,51.62,73.1,Temirlan Hotel
208,Yasnyy,RU,36.54,51.03,59.87,Kosmos
209,Borogontsy,RU,-16.89,62.67,131.17,
210,Trapani,IT,66.0,37.83,12.67,
211,Ambilobe,MG,72.97,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
212,Port Hueneme,US,75.2,34.15,-119.2,Hampton Inn Channel Islands Harbor
213,Kirovskiy,RU,37.08,45.09,133.51,"Uyut, Gostinitsa"
214,Someshwar,IN,75.2,13.5,75.07,Kadinamane Homestay
216,Sheridan,US,64.4,44.83,-106.92,Best Western Sheridan Center
217,Karratha,AU,74.03,-20.74,116.85,ibis Styles Karratha
218,Kavieng,PG,85.69,-2.57,150.8,Nusa Island Retreat
219,Jumla,NP,44.47,29.27,82.18,Hotel Sundar Rara Karnali
220,Moron,AR,70.0,-34.65,-58.62,Hotel Morón
221,Korla,CN,36.0,41.76,86.15,Gulisitan Hotel
222,Bathurst,AU,61.0,-33.42,149.58,Bathurst Motor Inn
